日期,縣市別代碼,行政區域代碼,里別,調查種類,調查戶數,陽性戶數,調查容器數戶內,調查容器數戶外,陽性容器數戶內,陽性容器數戶外,布氏指數,布氏級數,容器指數,容器級數
20150520,67000,67000270, 大甲里,住宅,50,0,0,2,0,0,0,0,0,0
20150203,67000,67000270,一甲里,住宅,50,0,0,6,0,0,0,0,0,0
20150314,67000,67000270,一甲里,住宅,51,0,0,14,0,0,0,0,0,0
20150416,67000,67000270,一甲里,住宅,54,0,4,6,0,0,0,0,0,0
20150512,67000,67000270,一甲里,住宅,50,0,0,9,0,0,0,0,0,0
20150610,67000,67000270,一甲里,住宅,50,0,0,9,0,0,0,0,0,0
20150824,67000,67000270,一甲里,住宅,52,0,11,6,0,0,0,0,0,0
20150910,67000,67000270,一甲里,住宅,30,0,1,3,0,0,0,0,0,0
20150910,67000,67000270,一甲里,住宅,25,0,5,5,1,0,4,1,10,4
20150110,67000,67000090,七甲里,住宅,50,0,0,5,0,0,0,0,0,0
20150120,67000,67000280,七甲里,其他,50,2,0,79,0,3,6,2,4,2
20150209,67000,67000280,七甲里,其他,54,1,0,21,0,2,4,1,10,4
20150304,67000,67000090,七甲里,住宅,50,1,0,8,0,1,2,1,13,4
20150520,67000,67000090,七甲里,住宅,50,1,0,4,0,1,2,1,25,6
20150601,67000,67000280,七甲里,住宅,68,1,0,19,0,1,1,1,5,2
20150711,67000,67000280,七甲里,住宅,50,0,0,1,0,0,0,0,0,0
20150721,67000,67000090,七甲里,住宅,50,1,0,14,0,1,2,1,7,3
20150801,67000,67000280,七甲里,住宅,610,4,0,33,0,6,1,1,18,5
20150802,67000,67000280,七甲里,住宅,600,2,0,26,0,2,0,1,8,3
20150806,67000,67000280,七甲里,住宅,87,5,0,47,0,6,7,2,13,4
20150813,67000,67000280,七甲里,住宅,119,1,0,62,0,2,2,1,3,2
20150912,67000,67000090,七甲里,住宅,117,0,0,10,0,0,0,0,0,0
20150212,67000,67000150,七股里,住宅,56,0,0,11,0,0,0,0,0,0
20150224,67000,67000150,七股里,住宅,50,0,0,5,0,0,0,0,0,0
20150501,67000,67000150,七股里,住宅,50,0,0,10,0,0,0,0,0,0
20150806,67000,67000150,七股里,住宅,50,0,0,14,0,0,0,0,0,0
20150901,67000,67000150,七股里,住宅,135,0,0,42,0,0,0,0,0,0
20150211,67000,67000310,二王里,住宅,50,0,2,35,0,0,0,0,0,0
20150303,67000,67000310,二王里,住宅,50,0,1,20,0,0,0,0,0,0
20150317,67000,67000310,二王里,住宅,50,2,7,27,0,3,6,2,9,3
20150325,67000,67000310,二王里,住宅,50,1,7,16,0,2,4,1,9,3
20150407,67000,67000310,二王里,住宅,50,3,2,36,0,3,6,2,8,3
20150414,67000,67000310,二王里,住宅,50,4,2,41,0,4,8,2,9,3
20150420,67000,67000310,二王里,住宅,50,2,6,33,0,2,4,1,5,2
20150427,67000,67000310,二王里,住宅,50,1,2,33,0,1,2,1,3,2
20150505,67000,67000310,二王里,住宅,50,3,6,28,1,6,14,3,21,6
20150508,67000,67000310,二王里,住宅,50,2,5,40,0,2,4,1,4,2
20150512,67000,67000310,二王里,住宅,50,5,10,40,0,5,10,3,10,4
20150521,67000,67000310,二王里,住宅,50,2,4,47,0,2,4,1,4,2
20150601,67000,67000310,二王里,住宅,50,3,5,27,0,3,6,2,9,3
20150615,67000,67000310,二王里,住宅,50,3,1,17,0,4,8,2,22,6
20150707,67000,67000310,二王里,住宅,50,3,3,62,0,9,18,3,14,4
20150709,67000,67000310,二王里,住宅,51,1,9,6,0,1,2,1,7,3
20150729,67000,67000310,二王里,住宅,50,4,12,26,2,2,8,2,11,4
20150730,67000,67000310,二王里,住宅,50,2,18,4,1,1,4,1,9,3
20150811,67000,67000310,二王里,住宅,50,2,14,20,0,2,4,1,6,3
20150814,67000,67000310,二王里,住宅,66,1,25,33,0,1,2,1,2,1
20150814,67000,67000310,二王里,住宅,50,1,18,5,0,1,2,1,4,2
20150815,67000,67000310,二王里,住宅,50,0,2,32,0,0,0,0,0,0
20150817,67000,67000310,二王里,住宅,50,0,4,0,0,0,0,0,0,0
20150822,67000,67000310,二王里,住宅,100,0,56,3,0,0,0,0,0,0
20150826,67000,67000310,二王里,住宅,80,3,9,35,0,3,4,1,7,3
20150905,67000,67000310,二王里,住宅,50,2,17,27,2,0,4,1,5,2
20150910,67000,67000310,二王里,住宅,50,2,11,9,3,0,6,2,15,5
20150910,67000,67000310,二王里,住宅,56,0,10,14,0,0,0,0,0,0
20150914,67000,67000310,二王里,住宅,51,1,16,7,1,0,2,1,4,2
20150914,67000,67000310,二王里,住宅,54,0,9,7,0,0,0,0,0,0
20150915,67000,67000310,二王里,住宅,130,0,91,41,0,0,0,0,0,0
20150917,67000,67000310,二王里,住宅,36,2,13,10,0,2,6,2,9,3
20150919,67000,67000310,二王里,住宅,121,3,26,3,3,0,2,1,10,4
20150919,67000,67000310,二王里,住宅,135,3,48,12,0,3,2,1,5,2
20150930,67000,67000310,二王里,住宅,50,0,3,8,0,0,0,0,0,0
20151018,67000,67000310,二王里,住宅,18,0,3,4,0,0,0,0,0,0
20151024,67000,67000310,二王里,住宅,193,0,0,14,0,0,0,0,0,0
20151026,67000,67000310,二王里,住宅,81,6,46,27,0,6,7,2,8,3
20150421,67000,67000090,二甲里,住宅,50,0,0,8,0,0,0,0,0,0
20150513,67000,67000090,二甲里,住宅,50,0,0,9,0,0,0,0,0,0
20150616,67000,67000090,二甲里,住宅,50,0,0,4,0,0,0,0,0,0
20150821,67000,67000270,二行里,住宅,50,1,1,25,0,1,2,1,4,2
