日期,縣市別代碼,行政區域代碼,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,緯度,經度
20180105,67000,67000270,一甲里,住宅,75,2,3,8,11,0,2,2,3,1,18,5,22.9765425,120.2548436
20180117,67000,67000270,一甲里,住宅,52,0,0,3,3,0,0,0,0,0,0,0,22.9765425,120.2548436
20180122,67000,67000270,一甲里,住宅,50,0,0,2,2,0,0,0,0,0,0,0,22.9765425,120.2548436
20180222,67000,67000270,一甲里,住宅,50,0,1,11,12,0,0,0,0,0,0,0,22.9771958,120.2613689
20180314,67000,67000270,一甲里,住宅,50,0,1,4,5,0,0,0,0,0,0,0,22.9771958,120.2613689
20180418,67000,67000270,一甲里,住宅,50,0,1,12,13,0,0,0,0,0,0,0,22.9771958,120.2613689
20180427,67000,67000270,一甲里,住宅,50,1,2,4,6,0,1,1,2,1,17,5,22.9771958,120.2613689
20180503,67000,67000270,一甲里,住宅,50,1,5,5,10,1,0,1,2,1,10,4,120.2613689,22.9771958
20180508,67000,67000270,一甲里,住宅,50,0,1,25,26,0,0,0,0,0,0,0,22.9771958,120.2613689
20180516,67000,67000270,一甲里,住宅,50,0,0,2,2,0,0,0,0,0,0,0,22.9771958,120.2613689
20180517,67000,67000270,一甲里,住宅,50,0,1,2,3,0,0,0,0,0,0,0,22.9771958,120.2613689
20180524,67000,67000270,一甲里,住宅,50,2,0,6,6,0,2,2,4,1,33,8,22.9771958,120.2613689
20180606,67000,67000270,一甲里,住宅,50,0,8,2,10,0,0,0,0,0,0,0,22.9771958,120.2613689
20180611,67000,67000270,一甲里,住宅,50,1,0,10,10,0,2,2,4,1,20,5,22.9771958,120.2613689
20180719,67000,67000270,一甲里,住宅,75,3,4,43,47,0,11,11,15,3,23,6,22.9771958,120.2613689
20180731,67000,67000270,一甲里,住宅,50,1,0,9,9,0,1,1,2,1,11,4,22.9771958,120.2613689
20180807,67000,67000270,一甲里,住宅,50,3,11,17,28,1,2,3,6,2,11,4,22.9771958,120.2613689
20180815,67000,67000270,一甲里,住宅,50,1,0,15,15,0,1,1,2,1,7,3,22.9771958,120.2613689
